date_utc,latitude,longitude,lat_diff,lon_diff,mode,RM,mrglRM,QLCS,hybrid,tilt,time,arl_peak,out,in,vrot,delta-v,circulation,radar,warning,dptds,stp,pop,lbound,ubound,range,mlcape,srh01
04/12/2020,33.189968,-88.551933,0.001846,0.007034,0,0,0,0,0,0.486,2033,3500,39.8,66,52.9,0.43,0,GWX,0,1,0,3,75,140,50.4501952,1419,657
04/12/2020,33.188421,-88.54858,0.005238,0.016304,0,0,0,0,0,0.486,2033,3500,39.8,66,52.9,1.01,0,GWX,0,1,0,4,75,140,50.5077342,1419,657
04/12/2020,31.289259,-90.182049,0.006844,0.012428,0,0,0,0,0,0.444,2039,5300,73.8,36.9,55.35,0.83,0,LIX,0,1,8.09,14,90,165,69.0295383,2637,313
04/12/2020,31.319091,-90.1235845,0.002138,0.004677,0,0,0,0,0,0.444,2044,5300,70.9,52.5,61.7,0.3,0,LIX,0,1,8.09,4,90,165,70.0422247,2637,313
04/12/2020,31.343649,-90.0743675,0.003986,0.007241,0,0,0,0,0,0.443,2048,5400,73.8,70.9,72.35,0.48,0,LIX,0,1,7.55,3,110,180,71.0203877,2641,359
04/12/2020,31.4564665,-89.835068,0.002155,0.004654,0,0,0,0,0,0.444,2107,6200,49.5,69.9,59.7,0.3,0,LIX,0,1,8.32,6,90,165,77.2518614,2459,372
04/12/2020,31.4570485,-89.8379055,0.013065,0.005371,0,0,0,0,0,0.444,2107,6200,51.5,69.9,60.7,0.74,0,LIX,0,1,8.32,6,90,165,77.2978926,2459,372
04/12/2020,31.484603,-89.775593,0.001714,0.01075,0,0,0,0,0,0.445,2112,6400,81.9,40.8,61.35,0.65,0,LIX,0,1,7.28,9,90,165,79.2427108,2108,364
04/12/2020,31.460374,-89.8393895,0.006716,0.008919,0,0,0,0,0,0.444,2107,6200,51.5,69.9,60.7,0.64,0,LIX,0,1,8.28,5,90,165,77.5280486,2468,368
04/12/2020,31.4894645,-89.7750895,0.012091,0.005241,0,0,0,0,0,0.445,2112,6500,100,39.8,69.9,0.7,0,LIX,0,1,7.34,9,90,165,79.5821909,2118,372
04/12/2020,31.4704265,-89.7677615,0.001907,0.014343,0,0,0,0,0,0.308,2110,3300,80.2,89.4,84.8,0.87,0,DGX,0,1,8.28,5,110,180,57.2858284,2468,368
04/12/2020,31.611799,-89.494423,0.01421,0.026612,0,0,0,0,0,0.308,2132,3000,104,90.3,97.15,1.76,0,DGX,0,1,8.6,19,110,180,54.2995543,2328,418
04/12/2020,31.655967,-89.610367,0.011072,0.028,0,0,0,0,0,0.308,2214,2500,49.5,77.7,63.6,1.78,0,DGX,0,1,6.59,4,90,165,48.2924827,1899,411
04/12/2020,31.7547825,-89.446995,0.015921,0.04586,0,0,0,0,0,0.308,2227,2600,33,64.1,48.55,2.87,0,DGX,0,1,6.53,7,75,145,47.987526,1908,392
04/28/2020,38.5147475,-95.7626915,0.035095,0.025321,0,0,0,0,0,0.527,1945,11300,8.74,53.4,31.07,2.25,0,ICT,0,0,0.02,0,60,110,26.2147684,990,0
04/28/2020,38.521576,-95.709839,0.034614,0.036834,0,0,0,0,0,0.527,1947,11700,6.8,67,36.9,2.75,0,ICT,0,0,0.02,0,60,110,29.0111638,990,0
04/28/2020,38.54471,-95.6980245,0.013828,0.007317,0,0,0,0,0,0.527,1949,11900,12.6,42.7,27.65,0.78,0,ICT,0,0,0.02,0,60,110,29.5462765,990,0
